to_act_card,opponent_card,to_act_coins,opponent_coins,phase,pending_action,pending_action_by,pending_block,pending_block_by,result,dtm,best_moves
Assassin,Assassin,6,8,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,8,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,9,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,9,BLOCK,Foreign Aid,opponent,,,win,5,pass
Assassin,Assassin,6,10,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,6,11,ACTION,,,,,win,4,Assassinate
Assassin,Assassin,7,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,3,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,4,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,5,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,6,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,7,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,7,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,7,7,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,8,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,9,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,7,10,ACTION,,,,,win,2,Coup
Assassin,Assassin,7,11,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,0,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,0,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,0,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,3,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,4,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,5,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,6,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,8,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,8,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,8,7,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,8,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,9,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,8,10,ACTION,,,,,win,2,Coup
Assassin,Assassin,8,11,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,5,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,6,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,9,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,9,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,9,7,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,8,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,9,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,9,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,9,10,ACTION,,,,,win,2,Coup
Assassin,Assassin,9,11,ACTION,,,,,win,2,Coup
Assassin,Assassin,10,0,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,1,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,1,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,1,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,1,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,2,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,2,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,2,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,2,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,3,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,3,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,3,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,3,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,4,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,4,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,4,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,10,4,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,4,LOSE_INFLUENCE,Coup,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,5,ACTION,,,,,win,2,Coup
Assassin,Assassin,10,5,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,5,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,5,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,10,5,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,6,ACTION,,,,,win,2,Coup
Assassin,Assassin,10,6,ACTION_CHALLENGE,Assassinate,opponent,,,loss,3,pass
Assassin,Assassin,10,6,BLOCK,Assassinate,opponent,,,loss,2,pass
Assassin,Assassin,10,6,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,10,6,LOSE_INFLUENCE,Assassinate,opponent,,,loss,1,reveal Assassin
Assassin,Assassin,10,7,ACTION,,,,,win,2,Coup
Assassin,Assassin,10,7,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,10,8,ACTION,,,,,win,2,Coup
Assassin,Assassin,10,8,BLOCK,Foreign Aid,opponent,,,win,3,pass
Assassin,Assassin,10,9,ACTION,,,,,win,2,Coup
